id,name,type,path
1,Image,Alias,Typealiases.html#/Image
2,Image,Alias,Typealiases.html#/s:6Siesta5Imagea
3,url,Property,Protocols/URLConvertible.html#/s:6Siesta14URLConvertibleP3url10Foundation3URLVSgvp
4,JSONConvertible,Protocol,Protocols.html#/s:6Siesta15JSONConvertibleP
5,URLConvertible,Protocol,Protocols/URLConvertible.html
6,url,Property,Extensions/URL.html#/s:10Foundation3URLV6SiestaE3urlACSgvp
7,common,Variable,Extensions/Set.html#/s:Sh6SiestaAA0A3LogO8CategoryORszrlE6commonShyAEGvpZ
8,detailed,Variable,Extensions/Set.html#/s:Sh6SiestaAA0A3LogO8CategoryORszrlE8detailedShyAEGvpZ
9,all,Variable,Extensions/Set.html#/s:Sh6SiestaAA0A3LogO8CategoryORszrlE3allShyAEGvpZ
10,siestaNetworkingProvider,Property,Extensions/URLSessionConfiguration.html#/s:So25NSURLSessionConfigurationC6SiestaE24siestaNetworkingProviderAC0eF0_pvp
11,siestaNetworkingProvider,Property,Extensions/URLSession.html#/s:So12NSURLSessionC6SiestaE24siestaNetworkingProviderAC0dE0_pvp
12,configurationPattern(for:),Method,Extensions/NSRegularExpression.html#/s:So19NSRegularExpressionC6SiestaE20configurationPattern3forSb10Foundation3URLVcAC7ServiceC_tF
13,configurationPattern(for:),Method,Extensions/String.html#/s:SS6SiestaE20configurationPattern3forSb10Foundation3URLVcAA7ServiceC_tF
14,url,Property,Extensions/String.html#/s:SS6SiestaE3url10Foundation3URLVSgvp
15,String,Extension,Extensions/String.html
16,NSRegularExpression,Extension,Extensions/NSRegularExpression.html
17,URLSession,Extension,Extensions/URLSession.html
18,URLSessionConfiguration,Extension,Extensions/URLSessionConfiguration.html
19,Set,Extension,Extensions/Set.html
20,URL,Extension,Extensions/URL.html
21,task,Property,Protocols/SessionTaskContainer.html#/s:6Siesta20SessionTaskContainerP4taskSo012NSURLSessionC0Cvp
22,transferMetrics,Property,Protocols/SessionTaskContainer.html#/s:6Siesta20SessionTaskContainerPAAE15transferMetricsAA015RequestTransferF0Vvp
23,session,Property,Structs/URLSessionProvider.html#/s:6Siesta18URLSessionProviderV7sessionSo12NSURLSessionCvp
24,requestBytesSent,Property,Structs/RequestTransferMetrics.html#/s:6Siesta22RequestTransferMetricsV16requestBytesSents5Int64Vvp
25,requestBytesTotal,Property,Structs/RequestTransferMetrics.html#/s:6Siesta22RequestTransferMetricsV17requestBytesTotals5Int64VSgvp
26,responseBytesReceived,Property,Structs/RequestTransferMetrics.html#/s:6Siesta22RequestTransferMetricsV21responseBytesReceiveds5Int64Vvp
27,responseBytesTotal,Property,Structs/RequestTransferMetrics.html#/s:6Siesta22RequestTransferMetricsV18responseBytesTotals5Int64VSgvp
28,init(requestBytesSent:requestBytesTotal:responseBytesReceived:responseBytesTotal:),Method,Structs/RequestTransferMetrics.html#/s:6Siesta22RequestTransferMetricsV16requestBytesSent0eF5Total08responseF8Received0ifH0ACs5Int64V_AISgAiJtcfc
29,cancel(),Method,Protocols/RequestNetworking.html#/s:6Siesta17RequestNetworkingP6cancelyyF
30,transferMetrics,Property,Protocols/RequestNetworking.html#/s:6Siesta17RequestNetworkingP15transferMetricsAA0b8TransferE0Vvp
31,siestaNetworkingProvider,Property,Protocols/NetworkingProviderConvertible.html#/s:6Siesta29NetworkingProviderConvertibleP06siestabC0AA0bC0_pvp
32,startRequest(_:completion:),Method,Protocols/NetworkingProvider.html#/s:6Siesta18NetworkingProviderP12startRequest_10completionAA0eB0_p10Foundation10URLRequestV_ySo17NSHTTPURLResponseCSg_AG4DataVSgs5Error_pSgtctF
33,siestaNetworkingProvider,Property,Protocols/NetworkingProvider.html#/s:6Siesta18NetworkingProviderPAAE06siestabC0AaB_pvp
34,NetworkingProvider,Protocol,Protocols/NetworkingProvider.html
35,NetworkingProviderConvertible,Protocol,Protocols/NetworkingProviderConvertible.html
36,RequestNetworking,Protocol,Protocols/RequestNetworking.html
37,RequestNetworkingCompletionCallback,Alias,"Network Layer.html#/s:6Siesta35RequestNetworkingCompletionCallbacka"
38,RequestTransferMetrics,Struct,Structs/RequestTransferMetrics.html
39,URLSessionProvider,Struct,Structs/URLSessionProvider.html
40,SessionTaskContainer,Protocol,Protocols/SessionTaskContainer.html
41,Key,Alias,Protocols/EntityCache.html#/s:6Siesta11EntityCacheP3KeyQa
42,key(for:),Method,Protocols/EntityCache.html#/s:6Siesta11EntityCacheP3key3for3KeyQzSgAA8ResourceC_tF
43,readEntity(forKey:),Method,Protocols/EntityCache.html#/s:6Siesta11EntityCacheP04readB06forKeyAA0B0VyypGSg0F0Qz_tF
44,writeEntity(_:forKey:),Method,Protocols/EntityCache.html#/s:6Siesta11EntityCacheP05writeB0_6forKeyyAA0B0VyypG_0F0QztF
45,updateEntityTimestamp(_:forKey:),Method,Protocols/EntityCache.html#/s:6Siesta11EntityCacheP06updateB9Timestamp_6forKeyySd_0G0QztF
46,removeEntity(forKey:),Method,Protocols/EntityCache.html#/s:6Siesta11EntityCacheP06removeB06forKeyy0F0Qz_tF
47,workQueue,Property,Protocols/EntityCache.html#/s:6Siesta11EntityCacheP9workQueueSo17OS_dispatch_queueCvp
48,EntityCache,Protocol,Protocols/EntityCache.html
49,network,Element,Enums/SiestaLog/Category.html#/s:6Siesta0A3LogO8CategoryO7networkyA2EmF
50,networkDetails,Element,Enums/SiestaLog/Category.html#/s:6Siesta0A3LogO8CategoryO14networkDetailsyA2EmF
